This is a log file of a temperture control run being done in Physics 350. It records the temperature, power, the control bandwidth, and settle bandwidth parameters versus time.

11/10/2014
12:58 PM

DDD

Temp	Power	Setpoint	C. band	S. Band	Settle time
39.994	0.366	40.000	4.000	1.000	30.000
39.992	0.366	40.000	4.000	1.000	30.000
39.992	0.366	40.000	4.000	1.000	30.000
39.996	0.365	40.000	4.000	1.000	30.000
40.003	0.362	40.000	4.000	1.000	30.000
40.009	0.361	40.000	4.000	1.000	30.000
40.017	0.359	40.000	4.000	1.000	30.000
40.027	0.356	40.000	4.000	1.000	30.000
40.040	0.352	40.000	4.000	1.000	30.000
40.053	0.348	40.000	4.000	1.000	30.000
40.067	0.345	40.000	4.000	1.000	30.000
40.082	0.341	40.000	4.000	1.000	30.000
40.095	0.338	40.000	4.000	1.000	30.000
40.107	0.334	40.000	4.000	1.000	30.000
40.111	0.333	40.000	4.000	1.000	30.000
40.112	0.334	40.000	4.000	1.000	30.000
40.114	0.333	40.000	4.000	1.000	30.000
40.121	0.330	40.000	4.000	1.000	30.000
40.130	0.327	40.000	4.000	1.000	30.000
40.140	0.324	40.000	4.000	1.000	30.000
40.149	0.321	40.000	4.000	1.000	30.000
40.157	0.319	40.000	4.000	1.000	30.000
40.165	0.316	40.000	4.000	1.000	30.000
40.173	0.314	40.000	4.000	1.000	30.000
40.180	0.312	40.000	4.000	1.000	30.000
40.185	0.310	40.000	4.000	1.000	30.000
40.191	0.307	40.000	4.000	1.000	30.000
40.196	0.305	40.000	4.000	1.000	30.000
40.199	0.305	40.000	4.000	1.000	30.000
40.201	0.303	40.000	4.000	1.000	30.000
40.203	0.302	40.000	4.000	1.000	30.000
40.200	0.302	40.000	4.000	1.000	30.000
40.194	0.304	40.000	4.000	1.000	30.000
40.189	0.304	40.000	4.000	1.000	30.000
40.184	0.304	40.000	4.000	1.000	30.000
40.178	0.306	40.000	4.000	1.000	30.000
40.173	0.306	40.000	4.000	1.000	30.000
40.167	0.306	40.000	4.000	1.000	30.000
40.160	0.307	40.000	4.000	1.000	30.000
40.151	0.309	40.000	4.000	1.000	30.000
40.143	0.311	40.000	4.000	1.000	30.000
40.135	0.311	40.000	4.000	1.000	30.000
40.125	0.313	40.000	4.000	1.000	30.000
40.113	0.315	40.000	4.000	1.000	30.000
40.096	0.320	40.000	4.000	1.000	30.000
40.074	0.325	40.000	4.000	1.000	30.000
40.037	0.334	40.000	4.000	1.000	30.000
40.004	0.344	40.000	4.000	1.000	30.000
39.989	0.344	40.000	4.000	1.000	30.000
39.990	0.342	40.000	4.000	1.000	30.000
39.994	0.340	40.000	4.000	1.000	30.000
40.000	0.339	40.000	4.000	1.000	30.000
40.004	0.338	40.000	4.000	1.000	30.000
40.007	0.338	40.000	4.000	1.000	30.000
40.010	0.337	40.000	4.000	1.000	30.000
40.012	0.336	40.000	4.000	1.000	30.000
40.013	0.671	50.000	4.000	1.000	30.000
40.019	0.928	50.000	4.000	1.000	30.000
40.046	0.958	50.000	4.000	1.000	30.000
40.105	0.952	50.000	4.000	1.000	30.000
40.195	0.946	50.000	4.000	1.000	30.000
40.306	0.939	50.000	4.000	1.000	30.000
40.432	0.935	50.000	4.000	1.000	30.000
40.571	0.933	50.000	4.000	1.000	30.000
40.723	0.929	50.000	4.000	1.000	30.000
40.885	0.926	50.000	4.000	1.000	30.000
41.056	0.923	50.000	4.000	1.000	30.000
41.234	0.922	50.000	4.000	1.000	30.000
41.418	0.920	50.000	4.000	1.000	30.000
41.608	0.920	50.000	4.000	1.000	30.000
41.803	0.917	50.000	4.000	1.000	30.000
42.002	0.916	50.000	4.000	1.000	30.000
